CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_ATIVO;PR_PL_ATIVO
07.892.305/0001-02;WESTERN ASSET SELEÇÃO AÇÕES  FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Outras aplicações;3.03
07.892.305/0001-02;WESTERN ASSET SELEÇÃO AÇÕES  FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos públicos federais;11.81
07.892.311/0001-51;WESTERN ASSET DI MAX TOP FICFI RENDA FIXA REFERENCIADO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;16.31
07.892.311/0001-51;WESTERN ASSET DI MAX TOP FICFI RENDA FIXA REFERENCIADO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;8.86
07.892.311/0001-51;WESTERN ASSET DI MAX TOP FICFI RENDA FIXA REFERENCIADO;2023-11-30;Outras cotas de fundos de investimentos;3.91
07.892.311/0001-51;WESTERN ASSET DI MAX TOP FICFI RENDA FIXA REFERENCIADO;2023-11-30;Títulos de crédito privado;14.26
07.892.311/0001-51;WESTERN ASSET DI MAX TOP FICFI RENDA FIXA REFERENCIADO;2023-11-30;Títulos públicos federais;57.52
07.892.335/0001-00;WESTERN ASSET SOVEREIGN II SELIC RENDA FIXA REFERENCIADO FUNDO DE INVESTIMENTO;2023-11-30;Derivativos;0.00
07.892.335/0001-00;WESTERN ASSET SOVEREIGN II SELIC RENDA FIXA REFERENCIADO FUNDO DE INVESTIMENTO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;19.66
07.892.335/0001-00;WESTERN ASSET SOVEREIGN II SELIC RENDA FIXA REFERENCIADO FUNDO DE INVESTIMENTO;2023-11-30;Outras aplicações;-0.02
07.892.335/0001-00;WESTERN ASSET SOVEREIGN II SELIC RENDA FIXA REFERENCIADO FUNDO DE INVESTIMENTO;2023-11-30;Títulos públicos federais;80.36
07.894.727/0001-09;WESTERN ASSET PREV FIX FUNDO DE INVESTIMENTO RENDA FIXA CREDITO PRIVADO;2023-11-30;Cotas de fundos de investimento 409;29.17
07.894.727/0001-09;WESTERN ASSET PREV FIX FUNDO DE INVESTIMENTO RENDA FIXA CREDITO PRIVADO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;4.23
07.894.727/0001-09;WESTERN ASSET PREV FIX FUNDO DE INVESTIMENTO RENDA FIXA CREDITO PRIVADO;2023-11-30;Outras aplicações;0.15
07.894.727/0001-09;WESTERN ASSET PREV FIX FUNDO DE INVESTIMENTO RENDA FIXA CREDITO PRIVADO;2023-11-30;Títulos de crédito privado;6.32
07.894.727/0001-09;WESTERN ASSET PREV FIX FUNDO DE INVESTIMENTO RENDA FIXA CREDITO PRIVADO;2023-11-30;Títulos públicos federais;60.31
07.895.034/0001-30;WESTERN ASSET PREV INFLATION TOTAL RENDA FIXA FI;2023-11-30;Cotas de fundos de investimento 409;86.06
07.895.034/0001-30;WESTERN ASSET PREV INFLATION TOTAL RENDA FIXA FI;2023-11-30;Derivativos;0.00
07.895.034/0001-30;WESTERN ASSET PREV INFLATION TOTAL RENDA FIXA FI;2023-11-30;Outras aplicações;-0.06
07.895.034/0001-30;WESTERN ASSET PREV INFLATION TOTAL RENDA FIXA FI;2023-11-30;Títulos públicos federais;13.97
07.895.082/0001-29;WESTERN ASSET PREV INFLATION LIMITED RENDA FIXA FI;2023-11-30;Outras aplicações;0.01
07.895.082/0001-29;WESTERN ASSET PREV INFLATION LIMITED RENDA FIXA FI;2023-11-30;Títulos públicos federais;100.00
07.895.087/0001-51;WESTERN ASSET PREV INFLATION PLUS RENDA FIXA FI;2023-11-30;Cotas de fundos de investimento 409;0.06
07.895.087/0001-51;WESTERN ASSET PREV INFLATION PLUS RENDA FIXA FI;2023-11-30;Outras aplicações;0.13
07.895.087/0001-51;WESTERN ASSET PREV INFLATION PLUS RENDA FIXA FI;2023-11-30;Títulos públicos federais;99.83
07.897.907/0001-44;WESTERN ASSET LONG & SHORT TOP FIC FI MULTIMERCADO;2023-11-30;Cotas de fundos de investimento;98.82
07.899.238/0001-40;META VALOR FUNDO DE INVESTIMENTO DE AÇÕES;2023-11-30;Ações;78.66
07.899.238/0001-40;META VALOR FUNDO DE INVESTIMENTO DE AÇÕES;2023-11-30;Cotas de Fundos de Investimento 409;3.71
07.899.238/0001-40;META VALOR FUNDO DE INVESTIMENTO DE AÇÕES;2023-11-30;Operações Compromissadas Lastreadas em Títulos Públicos Federais;0.09
07.899.238/0001-40;META VALOR FUNDO DE INVESTIMENTO DE AÇÕES;2023-11-30;Outras Aplicações;17.83
07.900.255/0001-50;ICATU VANGUARDA CRÉDITO PRIVADO FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2023-11-30;Cotas de fundos de investimento 409;10.74
07.900.255/0001-50;ICATU VANGUARDA CRÉDITO PRIVADO FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;17.76
07.900.255/0001-50;ICATU VANGUARDA CRÉDITO PRIVADO FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;18.59
07.900.255/0001-50;ICATU VANGUARDA CRÉDITO PRIVADO FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2023-11-30;Títulos de crédito privado;49.15
07.900.255/0001-50;ICATU VANGUARDA CRÉDITO PRIVADO FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2023-11-30;Títulos públicos federais;4.05
07.906.349/0001-36;MAPFRE FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;2023-11-30;Cotas de fundos de investimento;0.00
07.906.349/0001-36;MAPFRE FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;2023-11-30;Depósitos  a  prazo  e  outros  títulos  de  instituições financeiras;48.41
07.906.349/0001-36;MAPFRE FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;2023-11-30;Operações  compromissadas  lastreadas  em  títulos públicos federais;23.31
07.906.349/0001-36;MAPFRE FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;2023-11-30;Títulos públicos federais;29.13
07.907.396/0001-02;SANTANDER FIC FI RENDA FIXA REFERENCIADO DI;2023-11-30;Depósitos a prazo e outros tít. Inst. Financeiras;19.02
07.907.396/0001-02;SANTANDER FIC FI RENDA FIXA REFERENCIADO DI;2023-11-30;Oper. compromissadas lastr. tít. públ. federais;47.27
07.907.396/0001-02;SANTANDER FIC FI RENDA FIXA REFERENCIADO DI;2023-11-30;Outras Cotas de fundos de investimento;1.67
07.907.396/0001-02;SANTANDER FIC FI RENDA FIXA REFERENCIADO DI;2023-11-30;Títulos de crédito privado;14.68
07.907.396/0001-02;SANTANDER FIC FI RENDA FIXA REFERENCIADO DI;2023-11-30;Títulos públicos federais;17.96
07.911.457/0001-05;SUL AMÉRICA FRIZZO FDO DE INVEST EM COTAS DE FDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2023-11-30;Cotas de Fundo;100.11
07.911.457/0001-05;SUL AMÉRICA FRIZZO FDO DE INVEST EM COTAS DE FDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2023-11-30;Op. Compromissadas lastreadas em títulos públicos;0.00
07.911.457/0001-05;SUL AMÉRICA FRIZZO FDO DE INVEST EM COTAS DE FDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2023-11-30;Outros;-0.11
07.911.457/0001-05;SUL AMÉRICA FRIZZO FDO DE INVEST EM COTAS DE FDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2023-11-30;Títulos de crédito privado;100.11
07.911.457/0001-05;SUL AMÉRICA FRIZZO FDO DE INVEST EM COTAS DE FDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2023-11-30;Títulos público federais;0.00
07.928.916/0001-55;ITAÚ-UNIBANCO FIDELIDADE W3 RENDA FIXA FUNDO DE INVESTIMENTO;2023-11-30;Derivativos;0.01
07.928.916/0001-55;ITAÚ-UNIBANCO FIDELIDADE W3 RENDA FIXA FUNDO DE INVESTIMENTO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;19.95
07.928.916/0001-55;ITAÚ-UNIBANCO FIDELIDADE W3 RENDA FIXA FUNDO DE INVESTIMENTO;2023-11-30;Títulos públicos federais;75.84
07.966.986/0001-06;SANTANDER RENDA FIXA REFERENCIADO DI TÍTULOS PÚBLICOS FUNDO DE INVESTIMENTO;2023-11-30;Oper. compromissadas lastr. tít. públ. federais;50.60
07.966.986/0001-06;SANTANDER RENDA FIXA REFERENCIADO DI TÍTULOS PÚBLICOS FUNDO DE INVESTIMENTO;2023-11-30;Títulos públicos federais;49.41
07.967.080/0001-06;RIO ARBITRAGEM FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Ações;26.52
07.967.080/0001-06;RIO ARBITRAGEM FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Cotas de fundos de investimento 409;10.25
07.967.080/0001-06;RIO ARBITRAGEM FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;20.79
07.967.080/0001-06;RIO ARBITRAGEM FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos de crédito privado;0.00
07.967.080/0001-06;RIO ARBITRAGEM FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;56.57
07.986.172/0001-25;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA FORTALECER RENDA FIXA LONGO PRAZO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;24.24
07.986.172/0001-25;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA FORTALECER RENDA FIXA LONGO PRAZO;2023-11-30;Outras aplicações;5.05
07.986.172/0001-25;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA FORTALECER RENDA FIXA LONGO PRAZO;2023-11-30;Outras cotas de fundos de investimento;0.33
07.986.172/0001-25;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA FORTALECER RENDA FIXA LONGO PRAZO;2023-11-30;Títulos de crédito privado;13.47
07.986.172/0001-25;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA FORTALECER RENDA FIXA LONGO PRAZO;2023-11-30;Títulos públicos federais;26.31
07.986.178/0001-00;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA SUPREMO RENDA FIXA LONGO PRAZO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;24.28
07.986.178/0001-00;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA SUPREMO RENDA FIXA LONGO PRAZO;2023-11-30;Outras aplicações;5.06
07.986.178/0001-00;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA SUPREMO RENDA FIXA LONGO PRAZO;2023-11-30;Outras cotas de fundos de investimento;0.33
07.986.178/0001-00;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA SUPREMO RENDA FIXA LONGO PRAZO;2023-11-30;Títulos de crédito privado;13.50
07.986.178/0001-00;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA SUPREMO RENDA FIXA LONGO PRAZO;2023-11-30;Títulos públicos federais;26.36
07.986.196/0001-84;BRADESCO H FUNDO DE INVESTIMENTO DE AÇÕES SMALL CAPS;2023-11-30;Ações;99.26
07.986.196/0001-84;BRADESCO H FUNDO DE INVESTIMENTO DE AÇÕES SMALL CAPS;2023-11-30;Derivativos;0.71
07.986.196/0001-84;BRADESCO H FUNDO DE INVESTIMENTO DE AÇÕES SMALL CAPS;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.20
07.995.631/0001-37;BB TOP RF INDICE DE PREÇO FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2023-11-30;Operações Compromissadas lastreadas em títulos públicos Federais;1.00
07.995.631/0001-37;BB TOP RF INDICE DE PREÇO FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2023-11-30;Outras Aplicações;0.00
07.995.631/0001-37;BB TOP RF INDICE DE PREÇO FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2023-11-30;Títulos Publicos Federais;99.00
08.001.060/0001-30;ITAÚ FEDERAL PROVISION RENDA FIXA  CURTO PRAZO - FUNDO DE INV EM COTAS DE FUNDOS DE INV;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;100.69
08.009.152/0001-67;ITAÚ EMPRESA RENDA FIXA REFERENCIADO DI VIP - FICFI;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;14.02
08.009.152/0001-67;ITAÚ EMPRESA RENDA FIXA REFERENCIADO DI VIP - FICFI;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;58.05
08.009.152/0001-67;ITAÚ EMPRESA RENDA FIXA REFERENCIADO DI VIP - FICFI;2023-11-30;Outras aplicações;2.55
08.009.152/0001-67;ITAÚ EMPRESA RENDA FIXA REFERENCIADO DI VIP - FICFI;2023-11-30;Títulos de crédito privado;18.25
08.009.152/0001-67;ITAÚ EMPRESA RENDA FIXA REFERENCIADO DI VIP - FICFI;2023-11-30;Títulos públicos federais;6.58
08.009.278/0001-31;ITAÚ PERSONNALITÉ AFR2 RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Cotas de fundos de investimento 409;100.76
08.009.286/0001-88;ITAÚ PERSONNALITÉ AF2 RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVES;2023-11-30;Cotas de fundos de investimento 409;100.60
08.009.410/0001-05;ITAÚ AFR1 RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;6.82
08.009.410/0001-05;ITAÚ AFR1 RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;16.74
08.009.410/0001-05;ITAÚ AFR1 RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Outras aplicações;5.71
08.009.410/0001-05;ITAÚ AFR1 RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos de crédito privado;5.98
08.009.410/0001-05;ITAÚ AFR1 RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos públicos federais;57.83
08.018.849/0001-02;BANESTES FUNDO DE INVESTIMENTO EM COTAS DE FI DE AÇÕES BTG PACTUAL ABSOLUTO INSTITUCIONAL;2023-11-30;Cotas de fundos de investimento 555;99.28
08.018.849/0001-02;BANESTES FUNDO DE INVESTIMENTO EM COTAS DE FI DE AÇÕES BTG PACTUAL ABSOLUTO INSTITUCIONAL;2023-11-30;Depósitos a Prazo e outros Títulos de Instituições Financeiras;0.06
08.018.849/0001-02;BANESTES FUNDO DE INVESTIMENTO EM COTAS DE FI DE AÇÕES BTG PACTUAL ABSOLUTO INSTITUCIONAL;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.32
08.018.849/0001-02;BANESTES FUNDO DE INVESTIMENTO EM COTAS DE FI DE AÇÕES BTG PACTUAL ABSOLUTO INSTITUCIONAL;2023-11-30;Títulos de Crédito Privado;0.09
08.018.849/0001-02;BANESTES FUNDO DE INVESTIMENTO EM COTAS DE FI DE AÇÕES BTG PACTUAL ABSOLUTO INSTITUCIONAL;2023-11-30;Títulos Públicos Federais;0.27
08.035.673/0001-99;BRADESCO H FICFI RENDA FIXA REFERENCIADO DI LONGO PRAZO CLASSIC;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;12.12
08.035.673/0001-99;BRADESCO H FICFI RENDA FIXA REFERENCIADO DI LONGO PRAZO CLASSIC;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;58.54
08.035.673/0001-99;BRADESCO H FICFI RENDA FIXA REFERENCIADO DI LONGO PRAZO CLASSIC;2023-11-30;Títulos de crédito privado;0.23
08.035.673/0001-99;BRADESCO H FICFI RENDA FIXA REFERENCIADO DI LONGO PRAZO CLASSIC;2023-11-30;Títulos públicos federais;28.99
08.038.910/0001-75;BB TOP MULTI INSTITUCIONAL LP FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Cotas de Fundos de Investimento 555;6.00
08.038.910/0001-75;BB TOP MULTI INSTITUCIONAL LP FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Investimentos no Exterior;10.00
08.038.910/0001-75;BB TOP MULTI INSTITUCIONAL LP FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações Compromissadas lastreadas em títulos públicos Federais;8.00
08.038.910/0001-75;BB TOP MULTI INSTITUCIONAL LP FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos de Crédito Privado;7.00
08.038.910/0001-75;BB TOP MULTI INSTITUCIONAL LP FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos Publicos Federais;62.00
08.039.040/0001-59;BB TOP RV GIRO LP FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Cotas de Fundos de Investimento 555;15.00
08.039.040/0001-59;BB TOP RV GIRO LP FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Investimentos no Exterior;16.00
08.039.040/0001-59;BB TOP RV GIRO LP FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações Compromissadas lastreadas em títulos públicos Federais;16.00
08.039.040/0001-59;BB TOP RV GIRO LP FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos de Crédito Privado;11.00
08.039.040/0001-59;BB TOP RV GIRO LP FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos Publicos Federais;33.00
08.046.355/0001-23;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA IBOVESPA ATIVO;2023-11-30;Ações;97.56
08.046.355/0001-23;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA IBOVESPA ATIVO;2023-11-30;Cotas de fundos de investimento 555;1.77
08.046.417/0001-05;FUNDO DE INVESTIMENTO CAIXA MASTER ESSENCIAL 50 RENDA FIXA LONGO PRAZO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;21.21
08.046.417/0001-05;FUNDO DE INVESTIMENTO CAIXA MASTER ESSENCIAL 50 RENDA FIXA LONGO PRAZO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;30.31
08.046.417/0001-05;FUNDO DE INVESTIMENTO CAIXA MASTER ESSENCIAL 50 RENDA FIXA LONGO PRAZO;2023-11-30;Outras aplicações;8.81
08.046.417/0001-05;FUNDO DE INVESTIMENTO CAIXA MASTER ESSENCIAL 50 RENDA FIXA LONGO PRAZO;2023-11-30;Títulos de crédito privado;12.23
08.046.417/0001-05;FUNDO DE INVESTIMENTO CAIXA MASTER ESSENCIAL 50 RENDA FIXA LONGO PRAZO;2023-11-30;Títulos públicos federais;27.42
08.070.838/0001-63;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA INDEXA - ISE;2023-11-30;Ações;98.59
08.070.838/0001-63;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA INDEXA - ISE;2023-11-30;Cotas de fundos de investimento 555;0.84
08.070.841/0001-87;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA ALOCAÇÃO MACRO MULT LONGO PRAZO;2023-11-30;Ações;16.68
08.070.841/0001-87;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA ALOCAÇÃO MACRO MULT LONGO PRAZO;2023-11-30;Cotas de fundos de investimento 555;0.27
08.070.841/0001-87;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA ALOCAÇÃO MACRO MULT LONGO PRAZO;2023-11-30;Derivativos;0.00
08.070.841/0001-87;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA ALOCAÇÃO MACRO MULT LONGO PRAZO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;13.41
08.070.841/0001-87;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA ALOCAÇÃO MACRO MULT LONGO PRAZO;2023-11-30;Títulos públicos federais;68.79
08.078.462/0001-33;ITAÚ MEGA RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;7.43
08.078.462/0001-33;ITAÚ MEGA RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Derivativos;-0.03
08.078.462/0001-33;ITAÚ MEGA RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;53.96
08.078.462/0001-33;ITAÚ MEGA RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos de crédito privado;0.07
08.078.462/0001-33;ITAÚ MEGA RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos públicos federais;39.35
08.078.571/0001-50;ITAÚ AÇÕES DIVIDENDOS - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Ações;24.08
08.078.571/0001-50;ITAÚ AÇÕES DIVIDENDOS - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Derivativos;0.00
08.078.571/0001-50;ITAÚ AÇÕES DIVIDENDOS - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.02
08.078.571/0001-50;ITAÚ AÇÕES DIVIDENDOS - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos públicos federais;0.18
08.080.680/0001-02;BB RENDA FIXA LP PREFIXADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Derivativos;0.00
08.080.680/0001-02;BB RENDA FIXA LP PREFIXADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Operações Compromissadas lastreadas em títulos públicos Federais;20.00
08.080.680/0001-02;BB RENDA FIXA LP PREFIXADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Outras Aplicações;0.00
08.080.680/0001-02;BB RENDA FIXA LP PREFIXADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos Publicos Federais;80.00
08.140.054/0001-64;IMPACTO VALUATION FUNDO DE INVESTIMENTO DE AÇÕES BDR NÍVEL I;2023-11-30;AÇÕES;86.14
08.140.054/0001-64;IMPACTO VALUATION FUNDO DE INVESTIMENTO DE AÇÕES BDR NÍVEL I;2023-11-30;COTAS DE FUNDOS DE INVESTIMENTO 555;0.30
08.140.054/0001-64;IMPACTO VALUATION FUNDO DE INVESTIMENTO DE AÇÕES BDR NÍVEL I;2023-11-30;DEPÓSITOS A PRAZO E OUTROS TÍTULOS DE INSTITUIÇÕES FINANCEIRAS;5.78
08.140.054/0001-64;IMPACTO VALUATION FUNDO DE INVESTIMENTO DE AÇÕES BDR NÍVEL I;2023-11-30;TÍTULOS DE CRÉDITO PRIVADO;0.27
08.140.054/0001-64;IMPACTO VALUATION FUNDO DE INVESTIMENTO DE AÇÕES BDR NÍVEL I;2023-11-30;TÍTULOS PÚBLICOS FEDERAIS;7.17
08.154.725/0001-46;BRADESCO H FICFI DE AÇÕES SMALL CAPS;2023-11-30;Ações;99.40
08.154.725/0001-46;BRADESCO H FICFI DE AÇÕES SMALL CAPS;2023-11-30;Derivativos;0.72
08.154.725/0001-46;BRADESCO H FICFI DE AÇÕES SMALL CAPS;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.20
08.160.794/0001-62;SAFRA CARTEIRA INSTITUCIONAL - FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Ações;1.65
08.160.794/0001-62;SAFRA CARTEIRA INSTITUCIONAL - FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;21.64
08.160.794/0001-62;SAFRA CARTEIRA INSTITUCIONAL - FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;76.71
08.212.681/0001-63;SICREDI - FUNDO DE INVESTIMENTO LIQUIDEZ RENDA FIXA;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;80.62
08.212.681/0001-63;SICREDI - FUNDO DE INVESTIMENTO LIQUIDEZ RENDA FIXA;2023-11-30;Títulos públicos federais;19.38
08.215.807/0001-53;FUNDO DE INVESTIMENTO EM COTAS DE FI RF BANPARA REFERENCIADO DI LONGO PRAZO CREDITO PRIVADO;2023-11-30;Cotas de fundos de investimento 409;100.40
08.215.807/0001-53;FUNDO DE INVESTIMENTO EM COTAS DE FI RF BANPARA REFERENCIADO DI LONGO PRAZO CREDITO PRIVADO;2023-11-30;Outras aplicações;0.12
08.244.542/0001-11;INFINITY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO;2023-11-30;Cotas de fundos de investimento 409;102.69
08.244.542/0001-11;INFINITY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO;2023-11-30;Outras aplicações;0.00
08.244.560/0001-01;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO QUANT;2023-11-30;Ações;6.67
08.244.560/0001-01;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO QUANT;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;0.09
08.244.560/0001-01;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO QUANT;2023-11-30;Investimento no exterior;13.14
08.244.560/0001-01;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO QUANT;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;12.40
08.244.560/0001-01;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO QUANT;2023-11-30;Títulos públicos federais;70.09
08.244.575/0001-61;BRADESCO PRIME FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES SML;2023-11-30;Ações;95.32
08.244.575/0001-61;BRADESCO PRIME FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES SML;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;4.16
